chrom	pos	strand	cov	percent_mod
JBJJSR010000001.1	32357	-	397	75.0
JBJJSR010000001.1	32497	-	402	1.47
JBJJSR010000001.1	33021	+	375	79.0
JBJJSR010000001.1	33075	-	20	93.88
JBJJSR010000001.1	33077	+	14	96.11
JBJJSR010000001.1	33109	+	339	1.17
JBJJSR010000001.1	33128	+	232	1.69
JBJJSR010000001.1	33186	-	22	94.44
JBJJSR010000001.1	33188	+	17	92.61
JBJJSR010000001.1	33212	-	10	97.44
JBJJSR010000001.1	33214	+	9	97.24
JBJJSR010000001.1	33270	+	326	1.21
JBJJSR010000001.1	33611	+	270	4.26
JBJJSR010000001.1	33612	-	242	1.22
JBJJSR010000001.1	33649	-	15	95.7
JBJJSR010000001.1	33651	+	10	95.85
JBJJSR010000001.1	34831	+	378	1.56
JBJJSR010000001.1	34881	+	320	1.84
JBJJSR010000001.1	34982	-	324	61.0
JBJJSR010000001.1	34986	-	26	3.7
JBJJSR010000001.1	35356	-	280	2.41
JBJJSR010000001.1	35383	-	44	2.22
JBJJSR010000001.1	35575	+	384	78.0
JBJJSR010000001.1	35699	-	371	1.33
JBJJSR010000001.1	35721	-	352	85.0
JBJJSR010000001.1	35848	-	312	1.58
JBJJSR010000001.1	36095	-	319	62.0
JBJJSR010000001.1	36274	+	384	1.54
JBJJSR010000001.1	36316	-	313	62.0
JBJJSR010000001.1	36753	+	372	80.0
JBJJSR010000001.1	37002	-	389	77.0
JBJJSR010000001.1	37336	-	8	97.6
JBJJSR010000001.1	37338	+	8	97.33
JBJJSR010000001.1	37825	-	25	3.85
JBJJSR010000001.1	38121	-	246	81.0
JBJJSR010000001.1	38365	-	136	73.0
JBJJSR010000001.1	39329	-	40	2.44
JBJJSR010000001.1	39343	+	352	2.22
JBJJSR010000001.1	39756	-	389	77.0
JBJJSR010000001.1	40018	-	361	82.0
JBJJSR010000001.1	40102	-	408	73.0
JBJJSR010000001.1	40155	-	318	93.0
JBJJSR010000001.1	40247	+	342	1.16
JBJJSR010000001.1	40982	-	396	100.0
JBJJSR010000001.1	41202	-	273	2.13
JBJJSR010000001.1	41347	-	329	60.0
JBJJSR010000001.1	41504	+	342	1.44
JBJJSR010000001.1	41844	-	400	3.38
JBJJSR010000001.1	42394	+	336	88.0
JBJJSR010000001.1	42920	+	256	2.28
JBJJSR010000001.1	43283	-	368	81.0
JBJJSR010000001.1	43295	-	331	60.0
JBJJSR010000001.1	43645	-	379	1.81
JBJJSR010000001.1	43854	+	385	77.0
JBJJSR010000001.1	44210	+	387	2.27
JBJJSR010000001.1	44536	+	353	1.67
JBJJSR010000001.1	44544	+	364	82.0
JBJJSR010000001.1	44641	+	291	68.0
JBJJSR010000001.1	45048	+	382	3.29
JBJJSR010000001.1	45300	+	320	93.0
JBJJSR010000001.1	45488	+	340	9.81
JBJJSR010000001.1	46540	-	350	85.0
JBJJSR010000001.1	46740	-	50	1.96
JBJJSR010000001.1	47032	-	364	1.08
JBJJSR010000001.1	47226	+	398	75.0
JBJJSR010000001.1	47301	-	347	85.0
JBJJSR010000001.1	47528	-	390	1.02
JBJJSR010000001.1	47711	-	374	1.83
JBJJSR010000001.1	47785	+	402	99.0
JBJJSR010000001.1	47924	-	385	1.03
JBJJSR010000001.1	48491	-	311	96.0
JBJJSR010000001.1	48921	-	306	1.29
JBJJSR010000001.1	48946	+	300	99.0
JBJJSR010000001.1	49046	+	283	1.05
JBJJSR010000001.1	49216	-	284	70.0
JBJJSR010000001.1	49238	-	308	1.28
JBJJSR010000001.1	49325	+	299	1.32
JBJJSR010000001.1	49695	+	345	1.15
JBJJSR010000001.1	50038	-	369	81.0
JBJJSR010000001.1	50040	+	347	1.69
JBJJSR010000001.1	50606	-	308	4.04
JBJJSR010000001.1	50733	+	308	1.91
JBJJSR010000001.1	50997	-	17	93.54
JBJJSR010000001.1	50999	+	11	95.32
JBJJSR010000001.1	51283	-	20	88.1
JBJJSR010000001.1	51285	+	23	91.51
JBJJSR010000001.1	51639	+	363	1.09
JBJJSR010000001.1	51649	-	308	96.0
JBJJSR010000001.1	52023	-	300	66.0
JBJJSR010000001.1	52127	+	285	70.0
JBJJSR010000001.1	52441	-	290	68.0
JBJJSR010000001.1	52446	+	293	68.0
JBJJSR010000001.1	52462	-	275	1.08
JBJJSR010000001.1	52580	-	332	2.35
JBJJSR010000001.1	52582	+	307	65.0
JBJJSR010000001.1	52613	-	21	92.73
JBJJSR010000001.1	52615	+	9	97.03
JBJJSR010000001.1	52942	-	338	88.0
JBJJSR010000001.1	52987	+	348	10.08
JBJJSR010000001.1	53138	-	386	77.0
JBJJSR010000001.1	53150	+	315	63.0
JBJJSR010000001.1	53314	-	14	95.48
JBJJSR010000001.1	53316	+	15	95.45
JBJJSR010000001.1	53345	-	368	2.9
JBJJSR010000001.1	53425	+	327	61.0
JBJJSR010000001.1	53472	+	255	1.54
JBJJSR010000001.1	53503	-	320	1.84
JBJJSR010000001.1	53747	-	16	94.84
JBJJSR010000001.1	53749	+	11	97.04
JBJJSR010000001.1	54273	+	332	60.0
JBJJSR010000001.1	54502	-	294	1.99
JBJJSR010000001.1	54534	-	377	4.07
JBJJSR010000001.1	54801	+	382	2.3
JBJJSR010000001.1	54916	+	381	78.0
JBJJSR010000001.1	55231	-	354	3.01
JBJJSR010000001.1	55382	-	350	1.13
JBJJSR010000001.1	55390	-	299	66.0
JBJJSR010000001.1	55454	+	405	74.0
JBJJSR010000001.1	55936	-	231	2.53
JBJJSR010000001.1	56049	+	401	74.0
JBJJSR010000001.1	56340	+	350	85.0
JBJJSR010000001.1	56426	+	282	70.0
JBJJSR010000001.1	56691	+	369	1.34
JBJJSR010000001.1	56772	-	378	78.0
JBJJSR010000001.1	56859	-	393	2.48
JBJJSR010000001.1	56876	-	319	93.0
JBJJSR010000001.1	56911	-	395	2.71
JBJJSR010000001.1	57559	-	18	87.14
JBJJSR010000001.1	57561	+	15	95.7
JBJJSR010000001.1	57694	-	11	97.16
JBJJSR010000001.1	57696	+	17	85.95
JBJJSR010000001.1	57697	-	362	1.63
JBJJSR010000001.1	57721	-	20	4.76
JBJJSR010000001.1	57792	-	326	2.06
JBJJSR010000001.1	57812	-	332	60.0
JBJJSR010000001.1	57920	+	370	80.0
JBJJSR010000001.1	57986	-	359	83.0
JBJJSR010000001.1	58470	-	447	1.32
JBJJSR010000001.1	58947	+	20	4.76
JBJJSR010000001.1	59141	+	328	61.0
JBJJSR010000001.1	59896	-	29	86.76
JBJJSR010000001.1	59898	+	35	87.8
JBJJSR010000001.1	59927	-	338	2.86
JBJJSR010000001.1	60109	-	413	96.0
JBJJSR010000001.1	61017	-	79	33.05
JBJJSR010000001.1	61019	+	10	96.09
JBJJSR010000001.1	61244	-	305	65.0
JBJJSR010000001.1	61532	-	428	2.28
JBJJSR010000001.1	61800	+	300	66.0
JBJJSR010000001.1	61885	-	419	1.87
JBJJSR010000001.1	61932	-	440	1.12
JBJJSR010000001.1	62080	-	423	1.86
JBJJSR010000001.1	62082	+	279	1.06
JBJJSR010000001.1	62420	-	379	79.0
JBJJSR010000001.1	62916	+	367	1.61
JBJJSR010000001.1	63520	-	379	78.0
JBJJSR010000001.1	63540	+	357	1.38
JBJJSR010000001.1	63739	-	67	75.86
JBJJSR010000001.1	63741	+	13	94.69
JBJJSR010000001.1	63978	+	330	2.37
JBJJSR010000001.1	64001	-	401	99.0
JBJJSR010000001.1	64034	-	396	2.46
JBJJSR010000001.1	64440	+	284	70.0
JBJJSR010000001.1	64486	+	355	1.11
JBJJSR010000001.1	64600	+	243	2.41
JBJJSR010000001.1	64898	+	320	4.48
JBJJSR010000001.1	66090	-	354	84.0
JBJJSR010000001.1	66098	+	358	83.0
JBJJSR010000001.1	66168	-	362	1.36
JBJJSR010000001.1	67456	-	399	75.0
JBJJSR010000001.1	68301	-	299	99.0
JBJJSR010000001.1	68747	-	12	96.0
JBJJSR010000001.1	68749	+	8	95.45
JBJJSR010000001.1	68939	-	364	82.0
JBJJSR010000001.1	69492	-	369	1.33
JBJJSR010000001.1	69847	+	310	64.0
JBJJSR010000001.1	69993	-	417	71.0
JBJJSR010000001.1	70020	+	289	1.03
JBJJSR010000001.1	70077	+	300	66.0
JBJJSR010000001.1	70153	-	320	93.0
JBJJSR010000001.1	70163	-	270	1.82
JBJJSR010000001.1	70277	-	31	90.1
JBJJSR010000001.1	70279	+	14	95.32
JBJJSR010000001.1	70344	-	387	77.0
JBJJSR010000001.1	72161	+	323	92.0
JBJJSR010000001.1	73253	-	276	3.48
JBJJSR010000001.1	73318	-	14	95.58
JBJJSR010000001.1	73320	+	20	91.84
JBJJSR010000001.1	73400	-	339	88.0
JBJJSR010000001.1	73674	-	316	63.0
JBJJSR010000001.1	73696	+	117	81.0
JBJJSR010000001.1	73702	+	365	1.88
JBJJSR010000001.1	75211	-	394	1.25
JBJJSR010000001.1	75274	-	53	1.85
JBJJSR010000001.1	75302	-	249	1.54
JBJJSR010000001.1	75496	+	347	2.53
JBJJSR010000001.1	75874	-	18	95.2
JBJJSR010000001.1	75876	+	20	93.2
JBJJSR010000001.1	75934	-	13	95.77
JBJJSR010000001.1	75936	+	10	97.28
JBJJSR010000001.1	75969	+	334	4.02
JBJJSR010000001.1	76419	-	367	2.39
JBJJSR010000001.1	77272	-	378	79.0
JBJJSR010000001.1	77783	+	154	65.0
JBJJSR010000001.1	78496	-	368	81.0
JBJJSR010000001.1	78702	+	355	1.66
JBJJSR010000001.1	78955	-	325	1.52
JBJJSR010000001.1	79087	+	331	60.0
JBJJSR010000001.1	79088	-	12	96.37
JBJJSR010000001.1	79090	+	10	96.91
JBJJSR010000001.1	79517	-	250	1.19
JBJJSR010000001.1	79527	+	207	7.17
JBJJSR010000001.1	79704	-	368	81.0
JBJJSR010000001.1	79895	-	374	4.59
JBJJSR010000001.1	80093	-	314	63.0
JBJJSR010000001.1	80109	-	12	94.94
JBJJSR010000001.1	80111	+	7	96.5
JBJJSR010000001.1	80629	-	20	4.76
JBJJSR010000001.1	80872	-	366	2.92
JBJJSR010000001.1	81483	-	387	77.0
JBJJSR010000001.1	81609	-	350	6.91
JBJJSR010000001.1	81855	-	24	91.52
JBJJSR010000001.1	81857	+	41	76.5
JBJJSR010000001.1	81976	-	329	60.0
JBJJSR010000001.1	82037	-	335	1.75
JBJJSR010000001.1	82057	-	346	1.98
JBJJSR010000001.1	82181	-	17	93.58
JBJJSR010000001.1	82183	+	14	95.27
JBJJSR010000001.1	82229	-	228	86.0
JBJJSR010000001.1	82344	+	205	96.0
JBJJSR010000001.1	82559	+	371	80.0
JBJJSR010000001.1	82715	-	375	79.0
JBJJSR010000001.1	82755	+	326	1.51
JBJJSR010000001.1	82857	+	245	81.0
JBJJSR010000001.1	82921	-	304	65.0
JBJJSR010000001.1	82973	+	314	1.57
JBJJSR010000001.1	83008	+	251	79.0
JBJJSR010000001.1	83679	+	272	1.09
JBJJSR010000001.1	83701	+	309	1.9
JBJJSR010000001.1	83992	+	311	64.0
JBJJSR010000001.1	83993	-	17	94.52
JBJJSR010000001.1	83995	+	13	96.04
JBJJSR010000001.1	83996	-	331	60.0
JBJJSR010000001.1	84038	-	157	63.0
JBJJSR010000001.1	84055	-	358	1.92
JBJJSR010000001.1	84074	+	206	96.0
JBJJSR010000001.1	84075	-	19	93.29
JBJJSR010000001.1	84077	+	27	82.82
JBJJSR010000001.1	84078	-	218	3.54
JBJJSR010000001.1	84099	+	277	71.0
JBJJSR010000001.1	84110	-	22	4.17
JBJJSR010000001.1	84418	+	334	2.34
JBJJSR010000001.1	84503	+	333	60.0
JBJJSR010000001.1	84802	+	313	1.57
JBJJSR010000001.1	84951	-	312	64.0
JBJJSR010000001.1	85295	-	374	80.0
JBJJSR010000001.1	85297	+	360	1.37
JBJJSR010000001.1	85558	-	384	1.54
JBJJSR010000001.1	85722	-	386	77.0
JBJJSR010000001.1	86075	+	280	1.39
JBJJSR010000001.1	86136	-	10	96.95
JBJJSR010000001.1	86138	+	6	98.41
JBJJSR010000001.1	86170	+	342	87.0
JBJJSR010000001.1	86189	+	250	1.19
JBJJSR010000001.1	86247	-	12	96.71
JBJJSR010000001.1	86249	+	13	94.82
JBJJSR010000001.1	86273	-	6	98.39
JBJJSR010000001.1	86275	+	10	97.08
JBJJSR010000001.1	86331	+	350	85.0
JBJJSR010000001.1	86370	+	372	80.0
JBJJSR010000001.1	86724	+	299	2.61
JBJJSR010000001.1	86736	-	247	1.2
JBJJSR010000001.1	86825	-	327	1.51
JBJJSR010000001.1	87058	+	391	1.51
JBJJSR010000001.1	87259	+	364	1.09
JBJJSR010000001.1	87406	+	330	60.0
JBJJSR010000001.1	87493	-	266	75.0
JBJJSR010000001.1	87745	-	341	1.16
JBJJSR010000001.1	87765	-	350	85.0
JBJJSR010000001.1	87889	-	20	92.66
JBJJSR010000001.1	87891	+	12	96.26
JBJJSR010000001.1	88052	+	223	2.61
JBJJSR010000001.1	88291	-	289	69.0
JBJJSR010000001.1	88463	+	340	4.21
JBJJSR010000001.1	88565	+	238	83.0
JBJJSR010000001.1	88589	+	319	62.0
JBJJSR010000001.1	88629	-	304	2.24
JBJJSR010000001.1	88681	+	309	1.9
JBJJSR010000001.1	89090	-	313	63.0
JBJJSR010000001.1	89387	+	279	1.41
JBJJSR010000001.1	89407	-	365	82.0
JBJJSR010000001.1	89409	+	296	2.31
JBJJSR010000001.1	89680	+	354	1.67
JBJJSR010000001.1	89701	-	19	93.52
JBJJSR010000001.1	89703	+	11	96.69
JBJJSR010000001.1	89704	-	329	1.2
JBJJSR010000001.1	89763	-	360	3.49
JBJJSR010000001.1	89783	-	11	95.33
JBJJSR010000001.1	89785	+	34	78.06
JBJJSR010000001.1	89786	-	234	85.0
JBJJSR010000001.1	89966	-	321	62.0
JBJJSR010000001.1	90111	-	233	1.27
JBJJSR010000001.1	90126	+	340	2.01
JBJJSR010000001.1	90131	-	348	85.0
JBJJSR010000001.1	90510	+	310	64.0
JBJJSR010000001.1	90749	+	289	68.0
JBJJSR010000001.1	91005	+	339	1.17
JBJJSR010000001.1	91196	+	285	70.0
JBJJSR010000001.1	91266	-	394	1.01
JBJJSR010000001.1	91844	-	12	96.41
JBJJSR010000001.1	91846	+	7	98.13
JBJJSR010000001.1	91897	+	253	1.17
JBJJSR010000001.1	91911	-	316	94.0
JBJJSR010000001.1	91955	-	14	96.11
JBJJSR010000001.1	91957	+	12	95.33
JBJJSR010000001.1	91981	-	13	96.53
JBJJSR010000001.1	91983	+	10	97.18
JBJJSR010000001.1	92063	+	280	71.0
JBJJSR010000001.1	92379	+	313	4.28
JBJJSR010000001.1	92380	-	247	1.59
JBJJSR010000001.1	92417	-	21	93.79
JBJJSR010000001.1	92419	+	12	95.77
JBJJSR010000001.1	92795	-	334	1.18
JBJJSR010000001.1	93383	-	400	1.23
JBJJSR010000001.1	93385	+	260	76.0
JBJJSR010000001.1	93389	+	260	76.0
JBJJSR010000001.1	94262	+	64	1.54
JBJJSR010000001.1	94330	-	370	2.89
JBJJSR010000001.1	94519	-	344	1.15
JBJJSR010000001.1	94706	-	391	1.01
JBJJSR010000001.1	94771	+	343	87.0
JBJJSR010000001.1	95063	+	321	62.0
JBJJSR010000001.1	95213	-	391	1.01
JBJJSR010000001.1	95373	+	316	2.17
JBJJSR010000001.1	95394	+	351	1.68
JBJJSR010000001.1	95906	+	377	2.08
JBJJSR010000001.1	96442	+	251	79.0
JBJJSR010000001.1	96483	-	26	91.03
JBJJSR010000001.1	96485	+	7	97.39
JBJJSR010000001.1	96576	-	334	60.0
JBJJSR010000001.1	96729	-	15	93.53
JBJJSR010000001.1	96731	+	13	94.78
JBJJSR010000001.1	96880	-	397	1.24
JBJJSR010000001.1	96887	-	419	1.41
JBJJSR010000001.1	97566	-	68	1.45
JBJJSR010000001.1	98079	+	272	1.07
JBJJSR010000001.1	98248	-	366	81.0
JBJJSR010000001.1	99202	+	413	72.0
JBJJSR010000001.1	99339	+	39	2.5
JBJJSR010000001.1	99922	+	405	1.7
JBJJSR010000001.1	100002	-	321	62.0
JBJJSR010000001.1	100552	-	382	1.54
JBJJSR010000001.1	101032	-	371	80.0
JBJJSR010000001.1	101340	-	319	93.0
JBJJSR010000001.1	101433	-	404	3.12
JBJJSR010000001.1	102227	+	50	5.66
JBJJSR010000001.1	102343	-	402	1.23
JBJJSR010000001.1	103563	+	286	69.0
JBJJSR010000001.1	103976	-	395	1.25
JBJJSR010000001.1	104054	-	16	94.68
JBJJSR010000001.1	104056	+	27	90.07
JBJJSR010000001.1	104284	-	398	1.97
JBJJSR010000001.1	104306	+	392	1.26
JBJJSR010000001.1	104669	-	9	96.86
JBJJSR010000001.1	104671	+	5	98.52
JBJJSR010000001.1	104710	-	318	62.0
JBJJSR010000001.1	104823	-	10	97.07
JBJJSR010000001.1	104825	+	12	95.11
JBJJSR010000001.1	104887	-	9	97.27
JBJJSR010000001.1	104889	+	11	95.53
JBJJSR010000001.1	104899	-	328	1.2
JBJJSR010000001.1	104943	+	309	64.0
JBJJSR010000001.1	105243	-	6	98.4
JBJJSR010000001.1	105245	+	9	96.94
JBJJSR010000001.1	105535	+	219	1.35
JBJJSR010000001.1	105623	+	349	85.0
JBJJSR010000001.1	106354	-	312	64.0
JBJJSR010000001.1	106495	-	332	90.0
JBJJSR010000001.1	106673	+	377	3.57
JBJJSR010000001.1	106771	+	377	1.82
JBJJSR010000001.1	107502	+	351	2.23
JBJJSR010000001.1	107543	-	323	2.12
JBJJSR010000001.1	107945	-	386	77.0
JBJJSR010000001.1	107961	-	282	2.08
JBJJSR010000001.1	108148	-	423	70.0
JBJJSR010000001.1	108247	-	9	97.54
JBJJSR010000001.1	108249	+	19	94.29
JBJJSR010000001.1	108586	-	393	1.26
JBJJSR010000001.1	108722	-	306	65.0
JBJJSR010000001.1	109753	+	244	81.0
JBJJSR010000001.1	109770	-	412	72.0
JBJJSR010000001.1	110109	+	397	1.73
JBJJSR010000001.1	110764	-	413	72.0
JBJJSR010000001.1	110971	-	376	1.05
JBJJSR010000001.1	111001	+	280	1.74
JBJJSR010000001.1	111028	+	399	75.0
JBJJSR010000001.1	111111	+	368	81.0
JBJJSR010000001.1	111483	+	393	1.5
JBJJSR010000001.1	111916	-	16	92.43
JBJJSR010000001.1	111918	+	22	92.76
JBJJSR010000001.1	112360	-	376	79.0
